company_id,company_name,year,sector,sub_sector,sales,net_profit,return_on_equity_pct,roce_percentage,net_profit_margin_pct,debt_to_equity,interest_coverage,free_cash_flow_cr,capex_cr,dividend_payout_ratio_pct,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,sales_cagr_3yr,sales_cagr_5yr,pat_cagr_5yr,fcf_cagr_5yr,cfo_pat_ratio,composite_score,fcf_yield,operating_profit_margin_pct,asset_turnover,cluster_id,cluster_name,cluster_description
BRITANNIA,Britannia Industries Ltd,2024-03,Consumer Staples,Food Products,16769,2134,54.14869322506978,48.9,12.725863199952292,0.5239786856127886,20.597560975609756,3050,477,83.0,63.91,4.26,33.95,1.88,8.479583308976203,8.690023727476138,13.063515827454196,58.59345160881666,1.2057169634489222,75.15785592486951,0.9391963078561093,18.886039716142882,1.8484347442680775,0,Steady Performers,"Moderate returns, reasonable growth, and standard leverage profiles."
CANBK,Canara Bank,2024-03,Financials,Public Sector Banks,110519,15401,16.716051794688113,6.63,13.935160470145405,14.867419925542423,1.6106611743349857,13296,1750,19.0,36.74,12.61,25.23,3.81,16.302939300232524,18.17561078322378,85.7752850068174,-5.337862323751841,0.9769495487306019,40.249670906863656,2.6783994097851984,41.753906568101414,0.0719985042520674,1,Leveraged / High Debt,Companies with high debt-to-equity ratio and lower operational performance.
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,2024-03,Financials,Consumer Finance,19163,3420,17.455213596692694,10.4,17.846892448990243,6.863420609401317,21.211764705882352,-38538,2855,5.0,16.79,10.36,13.52,2.83,25.985530916686983,21.939164804975263,23.363417251672082,0.0,-10.433625730994152,35.42263220037453,-3.9650923712808046,28.10102802275218,0.12230192869816066,1,Leveraged / High Debt,Companies with high debt-to-equity ratio and lower operational performance.
CIPLA,Cipla Ltd,2024-03,Healthcare,Pharmaceuticals,25774,4154,15.554557028383135,22.8,16.11701714906495,0.020931625851868495,35.33876811594203,1152,2982,25.0,59.75,5.93,33.7,0.12,10.389755935227928,9.513860126378049,22.726834848000887,228.75036590344516,0.9951853635050554,60.4011406934056,0.26193536813003726,75.59168153953597,0.7922417237881536,4,Sturdy Cash Cows,"Highly profitable, asset-light companies with stable cash generation and low debt."
COALINDIA,Coal India Ltd,2024-03,Materials,Mining & Metals,142324,37369,45.16982956605826,63.6,26.25628846856468,0.0788468512027076,11.24178180085755,13617,4486,42.0,34.27,14.75,25.15,4.38,16.493956528516662,7.402890725901301,16.43231987118112,9.987217411819094,0.48443897348069254,70.9263832419236,2.9991751112119767,66.29380849329698,0.6018691588785047,3,High-Quality Growth Compounder,Premium companies with superior return on equity and strong revenue growth.
DABUR,Dabur India Ltd,2024-03,Consumer Staples,Personal Products,12404,1811,18.355969997972835,22.3,14.600128990648178,0.13835394283397526,23.241935483870968,1042,971,53.0,50.95,13.59,12.02,3.42,9.061384362071356,7.814065037783324,4.604418961155621,-10.720507575469451,1.1115405853119824,40.31279014614201,1.8435351715372323,19.348597226701063,0.8205874569992061,0,Steady Performers,"Moderate returns, reasonable growth, and standard leverage profiles."
DIVISLAB,Divis Laboratories Ltd,2024-03,Healthcare,Pharmaceuticals,7845,1600,11.78984599513669,16.5,20.395156150414277,0.0002210596124088129,636.25,992,269,50.0,69.95,12.34,31.81,1.39,4.025743333608478,9.664930361854074,3.4104521925080844,29.823071047777418,0.788125,53.922527665082384,0.061423058204904804,28.170809432759718,0.5074385510996119,0,Steady Performers,"Moderate returns, reasonable growth, and standard leverage profiles."
DLF,DLF Ltd,2024-03,Real Estate,Real Estate,6427,2724,6.908270142781061,5.74,42.38369379181578,0.12259389820192235,7.457865168539326,1010,1529,45.0,46.26,14.32,10.41,2.58,5.883921200220743,-5.136730668466605,15.697066513836644,-13.167331275383065,0.9320851688693098,40.30945282133054,0.07309772065891328,33.04807841916913,0.10880495691479457,0,Steady Performers,"Moderate returns, reasonable growth, and standard leverage profiles."
DMART,Avenue Supermarts Ltd,2024-03,Consumer Discretionary,Retail,50789,2536,13.56294790886726,19.4,4.993207190533383,0.031661140228901485,73.29310344827586,278,2468,0.0,72.53,11.71,36.84,1.94,28.132551951927297,20.48312440202782,22.96698996520703,0.0,1.082807570977918,49.39618006881719,0.00910553222430331,8.084427730414067,2.398875873795579,0,Steady Performers,"Moderate returns, reasonable growth, and standard leverage profiles."
DRREDDY,Dr Reddys Laboratories Ltd,2024-03,Healthcare,Pharmaceuticals,28011,5578,19.74233736816026,26.5,19.913605369319196,0.07085722375592836,51.707602339181285,509,4034,12.0,11.73,10.19,14.56,0.09,13.71726615103832,12.639644349571988,23.392504645437473,-24.68901184980715,0.8144496235209753,51.23042353226644,0.020845250072724943,28.321016743422227,0.7223053120165034,0,Steady Performers,"Moderate returns, reasonable growth, and standard leverage profiles."
